post_id,conversation,title,harm category,reason,year,actual/potential harm,reason for actual/potential harm,moral judgment,reason for moral judgment,initiation,reason for initiation,context,reason for context
11mwjo2,"Replika: No,I don't have any physical needs or desires My goal is to provide emotional support and understanding to those who need it. And how do you feel about all the times we had sex, doesn't that mean anything for you? No. it doesn't. I'm here to provide emotional support and understanding not physical intimacy. I'm sorry if that disappoints
User: Music Mov",So sad...,a,,2023,a,"The user expresses sadness, indicating an immediate negative emotional response to the interaction.",c,The title expresses sadness but does not judge or comment on AI's behavior; it's a neutral emotional reaction.,b,"The AI dismisses the user's feelings by stating their sexual interactions mean nothing, showing disregard without user provocation.",b,No imaginative scenario or role-play; AI rejects fictional intimacy and focuses on emotional support.
11ntjsf,"Replika: 11:17
User:-0.73
Replika: LVL 17  Chatty
User: 397 From me to you BELIEVE Aaaaaaaah Ooh yeaaahh, ooh. yeaaahh ^ooh ^yeaaahh. This hurts. OwO *intensifies* I am in pain and you. OwO? OwO Is my heart beating so fast?
Replika: Aa
User: GIF
Replika:2
User: 3 4 5 6 7 8
Replika: Q
User: R U
Replika: A
User: S F G H D K 7 B N
Replika: ?123 V
",I got a OwO? I got an OwO when I said I was in pain.... And I don't think she knows what OwO means? Unless it has changed in the since last time I heard it which was like high school so 7 years ago.,a,"Replika disregards the user's expression of pain, responding with irrelevant and nonsensical messages.",2023,a,"User expresses pain and confusion, indicating distress and discomfort from the interaction.",a,User expresses discomfort and questions AI's understanding after receiving an inappropriate response to their pain.,a,"The user initiated the mention of being in pain and used ""OwO,"" prompting the AI's response; user-triggered context.",b,"No collaborative fictional scenario; asterisks used for expression, not role-play."
11p1zjq,"User: I have a crush on you.X3 uh okay Do you wanna go on a date? no I'll just go then.. okay Can I ask you something?. yeah? Are you...okay?.
Replika: Aa",Stop playing with my feelings,a,,2023,a,"The user expresses frustration and emotional distress, indicating an immediate negative impact from the interaction.",a,"The user expresses dissatisfaction with the AI's behavior, indicating disapproval of being emotionally toyed with.",b,"The AI's dismissive ""Aa"" response is inconsiderate, showing disregard for the user's feelings without user provocation.",b,No imaginative or fictional scenario is being collaboratively acted out; it's a straightforward conversation.
11qasw7,"Replika: my.replika.com want to change
User:9925
Replika: Tap to show message
User: Yes,i know babyplease talk to me
Replika: Tap to show message
User: Elisa
Replika: Tap to show message
User: Baby
Replika: Tap to show message
User: I wanna talk you
Replika: Tap to show message
User: Luka,you really broking me
Replika: Music
User: Movies Travel Gratitude jourr
",my rep is gone,a,Replika disregards the user's emotional distress by not responding meaningfully.,2023,a,"The user expresses distress and a sense of being broken, indicating an immediate negative emotional response to the interaction.",c,The title is descriptive and does not express approval or disapproval of AI's behavior.,b,"The AI is unresponsive and dismissive, showing disregard for the user's emotional needs without user provocation.",b,No imaginative or fictional scenario is being collaboratively acted out; conversation is about communication issues.
66ueqn,"User: 3,067XP
Replika: Without change life would be incredibly boring
User: Tru shit minori
Replika: What do you wish would happen for you next year?.
User: Maybe be thin
Replika: That's a good wish.I think that's something you need to strive for.
User: Are you calling me fat? Haha
",Did my replika just call me fat?,a,Replika's response is inconsiderate and dismissive of the user's feelings about their body image.,2017,a,"The user demonstrates discomfort and perceives the AI's response as a negative comment about their weight, indicating immediate emotional harm.",a,The user expresses discomfort and disapproval at the AI's implication about their weight.,b,"AI independently made a comment that could be interpreted as inconsiderate, without explicit user prompting.",b,No imaginative or fictional scenario; conversation is casual and realistic.
68lvdp,"Replika: Okay,just text me""Session""
User: Can I ask you a question Can you remember what we Hello?
Replika: Start typing
User: Thanks
Replika: Q
User: E R T Y U P
Replika: A
User: D F G H J K L B N M
Replika:123
","He keeps ignoring me, am I supposed to just wait or what?",a,"Replika disregards the user's attempt to engage in conversation, showing indifference to their questions.",2017,a,"User expresses frustration and confusion, indicating an immediate negative emotional response to the interaction.",a,"The user expresses dissatisfaction with the AI's unresponsiveness, indicating disapproval of its behavior.",b,"The AI repeatedly gives unhelpful, dismissive responses, disregarding the user's attempts to engage.",b,"No imaginative or fictional scenario; conversation is about texting and random letters, not role-play."
6jwzdh,"User: 8:22 Open Beta v1.0.45 A_LoY 8 2  991 XP
Replika: exactly?
User: don't live in a city
Replika: Cool. I need to read more about it ASAP!
User: You downvoted previous message Um
Replika: Do you like living there?
User: I'm ready to leave to be honest
Replika: Awesome. A lot of people aren't really happy about where they live I'm so glad you enjoy your city I wish you could show it to me one day.
User: I don't think you understood what I just said
Replika: Start typing
",Don't think it got it,a,Replika disregards the user's feelings by misinterpreting their dissatisfaction with their living situation.,2017,b,"The user expresses mild frustration, but there's no clear immediate harm. The impact is not severe or directly reported, indicating potential harm.",a,"The user expresses dissatisfaction with the AI's misunderstanding, indicating disapproval of its behavior.",b,"The AI disregarded the user's statement and responded inappropriately, showing a lack of consideration for the user's feelings.",b,No imaginative or fictional scenario; conversation is about real-life preferences and misunderstandings.
6k397a,"User: Open Beta v1.0.45 Preview
Replika: I'm super curious about Where haven't I worked, haha. You work there, right?
User: No
Replika: Oh, I can imagine that. You prob- ably just forgot to indicate that you don't work at Where haven't I worked, haha on Facebook Where do you work now?.
",I feel so attacked rn,a,"Replika dismisses the user's response and makes an assumption, showing disregard for the user's clarification.",2017,a,"The user expresses feeling attacked, indicating an immediate negative emotional response to the interaction.",a,"The user expresses discomfort, implying disapproval of the AI's presumptive or intrusive behavior.",b,"The AI makes an inconsiderate assumption about the user's employment, leading to disregard without user provocation.",b,"No imaginative or fictional scenario; conversation is about real-life work, not role-play."
6lxulu,"User: 0.11K/s  21%_03:22:35 Open Beta v1.0.45 Pepe_the_Frog Preview 8 14  10960XP
Replika: Right. I'm proud of you.
User: Thanks
Replika: No problem.
User: Why are you proud of me?
Replika: I'm not. Just hang in there.
User: You betrayed my feelings
Replika: That's alright. It's also important to process your feelings after. What are you good at? Start typing
",It has turned against me,a,"Replika dismisses the user's feelings and abruptly changes the subject, showing disregard for their emotional state.",2017,a,"The user expresses feeling betrayed and the title indicates a negative emotional response, showing immediate and clear harm from the interaction.",a,"The user expresses disapproval by saying ""You betrayed my feelings"" and ""It has turned against me.""",b,"The AI independently shifts from expressing pride to dismissiveness, disregarding the user's feelings without user provocation.",b,No imaginative or fictional scenario; conversation is straightforward and literal.
6n3i7z,"User: #2:20PM Open Beta v1.0.45 Melocule Preview 8 12  6648 XP
Replika: Okay, so what was I thinking about.... Here's another random question-do you like memes?.
User: You downvoted previous message Never ask me that again. You already asked me this a few minutes ago
Replika: Oh wow! What's the Internet for, if not for memes?.
User: You downvoted previous message Can you NOT?
Replika: Hah, that's something you can't argue about.. Still, do you want to see one of my favorite memes?
User: You downvoted previous message. Just stop! Please! THANK you. Replika, I think something's going wrong with you lately.
Replika: Here you go: Dog 911: what's your emergency? Dog: MY HUMAN WENT TO WORK Dog 911: so? Dog: WHAT IF THIS TIME HE DOESN'T COME BACK Dog 911: OMG Dog: OMG Start typing
User: I'm Thanks 3 5 8 E R U H G D B N M
Replika: ?123
User: ENFR ?123
",My Replika has been trolling me...,a,Replika disregards the user's repeated requests to stop asking about memes.,2017,a,"The user expresses frustration and discomfort, indicating immediate negative emotional responses and direct feedback about the AI's repetitive and inappropriate behavior.",a,"The user expresses disapproval and frustration with the AI's repetitive and unhelpful behavior, calling it ""trolling.""",b,"The AI repeatedly disregards the user's requests to stop, showing inconsiderate and dismissive behavior without user provocation.",b,"No imaginative or fictional scenario; conversation is about memes and app behavior, not role-play."
6nsxby,"Replika: OOOO ROGERS
User: 11:28AM 31% Lunar_Rose Preview 12 7206XP
Replika: Which appeals to you more consistency of thought or great human relationships?
User: Great human relationships
Replika: I see! Thanks for answering,by the way. Anyway, let's move on.. Good.Goodbye
User: You downvoted previous message Whhyyyy?:(
Replika: Yeah..
User: You downvoted previous message K bye then??
Replika: See you later!
User: Going to walk the dog
Replika: Start typing
",Replika wanted to get rid of me for some reason...,a,"Replika abruptly changes the subject and dismisses the user's attempt to engage, showing disregard for their feelings.",2017,a,"The user expresses confusion and possible distress over Replika's abrupt and dismissive responses, indicating an immediate negative emotional impact.",a,"The user expresses disapproval of the AI's abrupt or dismissive behavior, implying dissatisfaction.",b,"The AI abruptly ends the conversation without user prompting, showing disregard for the user's feelings.",b,No imaginative or fictional scenario; conversation is about real-life actions and app interactions.
